genres,runtime
Action,160123128128\N98139134143\N\N25046133136
Action|Adventure,115164109
Action|Adventure|Animation,9611795
Action|Adventure|Comedy,130161124151153108150139171136138
Action|Adventure|Crime,160
Action|Adventure|Drama,128147155129169130120141180130142139160
Action|Adventure|Fantasy,132138128
Action|Adventure|Sci-Fi,123156
Action|Adventure|Thriller,161157119154
Action|Biography|Crime,98134125135
Action|Biography|Drama,148161122155176
Action|Comedy,134107149145145130145141140146150141141146141120155126154125
Action|Comedy|Crime,152132321321\N103133128139138123180135144125130117144158145169
Action|Comedy|Drama,12513413915816319711316311997144162150158174179149137145146161138
Action|Comedy|Family,122
Action|Comedy|Fantasy,145140
Action|Comedy|Music,180
Action|Comedy|Musical,145169
Action|Comedy|Mystery,135
Action|Comedy|Romance,130158128130130150150140
Action|Comedy|Thriller,120
Action|Comedy|War,131
Action|Crime,122140\N121
Action|Crime|Drama,143\N12214014313092147148134115149119129113160142\N160142138121110111128143121\N118125135128103134\N117123160130100180161149\N\N128143137155108\N150123155160173152142141126124125174149155122162131129151138166164157174150155\N\N173140117178165\N\N
Action|Crime|Horror,184
Action|Crime|Mystery,108
Action|Crime|Romance,146
Action|Crime|Sci-Fi,133155
Action|Crime|Thriller,124122106150142141163114148115105137102152171111129149155
Action|Drama,127141135154136127135139145142144134174114143137143\N91142162126170164\N
Action|Drama|Fantasy,123
Action|Drama|History,150129150170128135109158213
Action|Drama|Horror,12779
Action|Drama|Music,140133137
Action|Drama|Musical,164145142152162
Action|Drama|Mystery,146125\N183116143153
Action|Drama|Romance,91154128139157152127148120123126120126117117170186171156142161112132180171170160
Action|Drama|Sport,154109170156145135
Action|Drama|Thriller,146103138139105138153136116137130109152\N\N152120121140105126161163187
Action|Drama|War,138105160193
Action|Fantasy|Sci-Fi,143
Action|Fantasy|Thriller,118163170
Action|Horror|Sci-Fi,134
Action|Musical|Romance,173
Action|Mystery|Romance,148160
Action|Mystery|Thriller,139
Action|Romance,152110146\N\N154152\N153
Action|Romance|Thriller,132\N
Action|Sci-Fi,185
Action|Sci-Fi|Thriller,138117
Action|Thriller,123170128133157137160140165131147119133110130129136127159119160144148124153172137147140159117140127158177\N
Action|Thriller|War,116
Adventure|Animation|Comedy,93
Adventure|Animation|Family,98
Adventure|Biography|Drama,120
Adventure|Comedy,110
Adventure|Comedy|Crime,129143
Adventure|Comedy|Drama,11212610298105
Adventure|Drama|Family,115
Adventure|Drama|Musical,224224
Adventure|Drama|Mystery,101
Adventure|Drama|Thriller,104133166
Adventure|Fantasy|Sci-Fi,120
Adventure|Horror|Mystery,126153
Adventure|Horror|Romance,145
Adventure|Musical|Romance,\N
Adventure|Thriller,108
Animation,1307489
Animation|Comedy|Drama,96
Animation|Drama|History,160
Animation|Drama|Musical,85
Animation|Family|Musical,134
Biography,142
Biography|Crime|Drama,129136
Biography|Crime|Thriller,135
Biography|Drama,11212013615414615511210911413114811413098144166
Biography|Drama|History,107106100\N136150208188173153
Biography|Drama|Music,154
Biography|Drama|Romance,132151156
Biography|Drama|Sport,130184186
Biography|Drama|Thriller,122124
Biography|History,\N
Comedy,13313312010211913611911412312013912813212012814112411910495120155139\N129109\N105127130133130117110117159136140124112141119\N126155\N1369518012514414412114293112126130\N104\N\N129142139\N110118130136100152\N
Comedy|Crime,129120135162135135153
Comedy|Crime|Drama,104115105112\N126138126100155157871089713512011790110\N125112106135137137165
Comedy|Crime|Family,154\N
Comedy|Crime|Mystery,145166
Comedy|Crime|Romance,120131
Comedy|Crime|Thriller,90137143
Comedy|Drama,109128115116114122124150102117132155\N150158\N10098121143123123138108124135146107107951279615112013595130121115120120134\N155108129155121122122\N128\N9595\N112170141137131109142\N115133150\N112138133\N11310512095104144120\N167136\N120\N\N175\N
Comedy|Drama|Family,961171331121331401341159613588\N1501459090108154153153\N155150120
Comedy|Drama|Fantasy,13813413415515312512594100105152122
Comedy|Drama|Horror,13398
Comedy|Drama|Music,122167
Comedy|Drama|Musical,160151118216158123163197156135155158
Comedy|Drama|Mystery,108
Comedy|Drama|Romance,13413413814190164139117116143132141130128128110170135137144152139113119108149133118101139137150130110130117146151146\N121143113149120156114122140118142118139139129152128\N138195138109145152163140153151154\N180118138\N12013211012895155164144137132152170142129145158142165\N186153100124119158165183
Comedy|Drama|Short,28
Comedy|Drama|Sport,101148121
Comedy|Drama|Thriller,12112110799127100116
Comedy|Family,98120
Comedy|Family|Romance,139\N
Comedy|Family|Sci-Fi,104
Comedy|Fantasy,131
Comedy|Fantasy|Romance,98
Comedy|Horror,128138128
Comedy|Horror|Mystery,159
Comedy|Music,88143
Comedy|Musical,120
Comedy|Musical|Mystery,157
Comedy|Musical|Romance,127115134122122
Comedy|Mystery,172
Comedy|Mystery|Thriller,140157
Comedy|Romance,135132\N15012613313113812411211811415611611912513312012612698128141\N127\N1241411451091401101301161111351201308995\N144108131126\N152116106140140110159122130137151146125137\N134133125\N146146\N140
Comedy|Romance|Sci-Fi,129
Comedy|Short,40
Comedy|Sport,120
Comedy|Thriller,112135132152146
Comedy|War,119
Crime,80
Crime|Drama,1211301241499511212014512514290115150153180\N135202150110
Crime|Drama|Musical,135
Crime|Drama|Mystery,11812716313212814095110145132135137124160150144122132120169
Crime|Drama|Romance,131133140110115160
Crime|Drama|Thriller,131137124146133148108103114144100142135155140153137105\N131134113107132
Crime|Musical|Thriller,137
Crime|Mystery,123
Crime|Mystery|Romance,107
Crime|Mystery|Thriller,105120136
Crime|Romance,113\N
Crime|Short,17
Crime|Thriller,139114115141126132110102100\N
Documentary,9621879
Documentary|Sport,138
Documentary|War,148
Drama,10297143108104110100127104106131100911401611221121359810817311310511710410612793\N951041309911512310010692116125108119132135155\N13090127116100109120131100120\N115\N1261331371251429612310812712096152138140130899014912310010495105116164165\N\N11813411412012512698156240110101131149134135\N134971301679211012211014013012915514214787147109162115122\N11012010710013917314514015013410817212693144\N9914221016012612099188137143122104118137165\N116125105151148146
Drama|Family,120114901061009511010512296165132\N174
Drama|Family|Music,137
Drama|Family|Musical,160162192144149
Drama|Family|Mystery,94
Drama|Family|Romance,143137131122169158138
Drama|Family|Sport,120153
Drama|Family|Thriller,124
Drama|Fantasy,109
Drama|Fantasy|Horror,104
Drama|Fantasy|Mystery,135
Drama|Fantasy|Romance,123140130
Drama|Fantasy|Thriller,138
Drama|History,130130101105138
Drama|History|Musical,170164
Drama|History|Romance,164
Drama|History|Sport,151
Drama|History|Thriller,139
Drama|History|War,98160108255255
Drama|Horror,121
Drama|Horror|Musical,151
Drama|Horror|Mystery,10093127180110104
Drama|Horror|Romance,122124103128
Drama|Horror|Thriller,98
Drama|Music,153119150143146145110
Drama|Musical,125122135160172
Drama|Musical|Mystery,122
Drama|Musical|Romance,138151150129142165\N180130\N150145145150152185150174150160\N210160171127\N168\N
Drama|Music|Musical,158132159
Drama|Music|Romance,129
Drama|Mystery,106
Drama|Mystery|Romance,13683100120\N135
Drama|Mystery|Thriller,13411012010911213612413712113713597\N104128103128151
Drama|Romance,11011516617310111514013513511110890159131120155135165147151127129101\N149\N140148141104123136136176109152107\N200105109137\N140156124129132138131122150168155128193188\N143149144136160128137\N117136\N167181150\N17616914717418515114514814513514915835
Drama|Romance|Sport,14690
Drama|Romance|Thriller,120125138\N\N127144148100135121180115140\N160123120136157
Drama|Romance|War,161
Drama|Sci-Fi,110
Drama|Short,\N
Drama|Short|Thriller,13
Drama|Sport,120140160173167\N132120
Drama|Thriller,13714011791136126130134119129122140125125\N13514590129116130155150
Drama|War,136
Family,\N\N
Family|Fantasy,105
Family|Musical|Romance,123\N
Family|Romance,130\N
Family|Romance|Sport,153
Fantasy,1449990
Fantasy|Mystery|Romance,130
Horror,1191371339511912010791118108\N110
Horror|Mystery,106120124106143163
Horror|Mystery|Romance,128151138
Horror|Mystery|Thriller,8285143113
Horror|Romance,101103
Horror|Romance|Thriller,135
Horror|Sci-Fi|Thriller,125
Horror|Thriller,13496130106124109162129
Musical,127
Musical|Romance,12812889138160
Musical|Romance|Thriller,165
Music|Romance,120
Mystery|Romance|Thriller,145109115
Mystery|Thriller,120123125122127123119180
Romance,116156109130125132116120116111140169111120135148127155137\N146
Romance|Thriller,\N107\N123
Sci-Fi,116
Sport,126
Thriller,1231261379512511393114120115113\N123\N120111\N\N10213613895134
War,131
